id_madrasah,kelas,rumpun_pai,rata_nilai,persen_tuntas,n_siswa
MDR00080,3,Fikih,78.1,92.8,33
MDR00080,3,SKI,69.6,87.1,30
MDR00080,3,Quran-Hadis,78.9,97.6,29
MDR00080,3,Bahasa Arab,73.3,80.6,30
MDR00080,4,Akidah-Akhlak,74.6,85.1,28
MDR00080,4,Fikih,73.6,75.4,36
MDR00080,4,SKI,73.9,88.2,36
MDR00080,4,Quran-Hadis,77.6,97.0,27
MDR00080,4,Bahasa Arab,73.8,80.4,34
MDR00080,5,Akidah-Akhlak,76.7,92.8,27
MDR00080,5,Fikih,69.3,69.6,30
MDR00080,5,SKI,68.5,64.2,27
MDR00080,5,Quran-Hadis,72.5,76.2,33
MDR00080,5,Bahasa Arab,74.0,93.3,35
MDR00080,6,Akidah-Akhlak,72.3,87.6,32
MDR00080,6,Fikih,73.2,79.0,27
MDR00080,6,SKI,74.8,83.9,36
MDR00080,6,Quran-Hadis,73.0,80.0,32
MDR00080,6,Bahasa Arab,73.5,85.8,34
MDR00081,1,Akidah-Akhlak,76.7,100,40
MDR00081,1,Fikih,73.8,77.7,49
MDR00081,1,SKI,69.6,77.7,50
MDR00081,1,Quran-Hadis,73.7,86.5,53
MDR00081,1,Bahasa Arab,70.1,73.9,53
MDR00081,2,Akidah-Akhlak,73.8,83.5,50
MDR00081,2,Fikih,67.8,69.1,43
MDR00081,2,SKI,68.8,79.4,44
MDR00081,2,Quran-Hadis,74.6,83.2,44
MDR00081,2,Bahasa Arab,72.8,85.8,48
MDR00081,3,Akidah-Akhlak,76.7,96.3,48
MDR00081,3,Fikih,71.9,72.9,51
MDR00081,3,SKI,72.6,83.9,46
MDR00081,3,Quran-Hadis,74.9,83.4,42
MDR00081,3,Bahasa Arab,72.6,79.1,48
MDR00081,4,Akidah-Akhlak,75.7,94.0,49
MDR00081,4,Fikih,76.4,95.9,40
MDR00081,4,SKI,71.4,78.0,52
MDR00081,4,Quran-Hadis,76.3,84.3,40
MDR00081,4,Bahasa Arab,72.4,75.0,42
MDR00081,5,Akidah-Akhlak,78.8,100,50
MDR00081,5,Fikih,74.8,93.1,42
MDR00081,5,SKI,72.3,87.7,49
MDR00081,5,Quran-Hadis,75.6,95.2,42
MDR00081,5,Bahasa Arab,74.8,92.2,48
MDR00081,6,Akidah-Akhlak,72.9,88.4,50
MDR00081,6,Fikih,71.8,82.8,49
MDR00081,6,SKI,72.6,81.2,52
MDR00081,6,Quran-Hadis,70.8,72.4,44
MDR00081,6,Bahasa Arab,67.2,63.2,48
MDR00082,7,Akidah-Akhlak,78.7,100,67
MDR00082,7,Fikih,82.1,100,90
MDR00082,7,SKI,79.3,100,82
MDR00082,7,Quran-Hadis,84.9,100,70
MDR00082,7,Bahasa Arab,78.8,95.1,86
MDR00082,8,Akidah-Akhlak,74.9,80.8,87
MDR00082,8,Fikih,79.6,100,89
MDR00082,8,SKI,79.0,100,78
MDR00082,8,Quran-Hadis,83.5,100,81
MDR00082,8,Bahasa Arab,80.0,93.6,73
MDR00082,9,Akidah-Akhlak,84.3,100,72
MDR00082,9,Fikih,74.4,82.6,82
MDR00082,9,SKI,73.4,83.1,73
MDR00082,9,Quran-Hadis,79.6,100,89
MDR00082,9,Bahasa Arab,81.4,100,89
MDR00083,1,Akidah-Akhlak,63.4,61.7,34
MDR00083,1,Fikih,59.5,45.6,33
MDR00083,1,SKI,66.3,68.1,26
MDR00083,1,Quran-Hadis,62.9,53.1,34
MDR00083,1,Bahasa Arab,58.1,41.4,31
MDR00083,2,Akidah-Akhlak,59.9,49.9,33
MDR00083,2,Fikih,61.0,54.8,32
MDR00083,2,SKI,58.5,48.6,29
MDR00083,2,Quran-Hadis,65.7,69.3,33
MDR00083,2,Bahasa Arab,63.7,63.7,29
MDR00083,3,Akidah-Akhlak,62.2,57.4,26
MDR00083,3,Fikih,69.0,72.4,26
MDR00083,3,SKI,53.6,41.6,31
MDR00083,3,Quran-Hadis,63.7,54.2,27
MDR00083,3,Bahasa Arab,65.8,63.4,29
MDR00083,4,Akidah-Akhlak,68.5,77.8,26
MDR00083,4,Fikih,62.2,61.2,29
MDR00083,4,SKI,64.9,65.7,28
MDR00083,4,Quran-Hadis,65.4,66.9,30
MDR00083,4,Bahasa Arab,59.4,44.9,30
MDR00083,5,Akidah-Akhlak,69.7,71.8,26
MDR00083,5,Fikih,58.0,50.3,31
MDR00083,5,SKI,64.4,59.0,34
MDR00083,5,Quran-Hadis,60.6,45.3,27
MDR00083,5,Bahasa Arab,63.7,61.3,29
MDR00083,6,Akidah-Akhlak,65.1,64.5,28
MDR00083,6,Fikih,63.5,63.9,27
MDR00083,6,SKI,61.0,48.8,32
MDR00083,6,Quran-Hadis,67.0,76.5,28
MDR00083,6,Bahasa Arab,64.6,55.3,30
MDR00084,1,Akidah-Akhlak,75.5,88.5,14
MDR00084,1,Fikih,77.3,85.7,16
MDR00084,1,SKI,69.0,73.1,13
MDR00084,1,Quran-Hadis,72.9,81.5,14
MDR00084,1,Bahasa Arab,75.6,82.0,16
MDR00084,2,Akidah-Akhlak,72.5,79.3,16
MDR00084,2,Fikih,74.7,86.9,13
MDR00084,2,SKI,72.5,69.8,13
MDR00084,2,Quran-Hadis,73.3,83.6,14
MDR00084,2,Bahasa Arab,70.1,84.0,16
MDR00084,3,Akidah-Akhlak,71.2,83.9,15
MDR00084,3,Fikih,77.2,94.6,14
MDR00084,3,SKI,67.1,72.5,12
MDR00084,3,Quran-Hadis,66.4,59.9,16
MDR00084,3,Bahasa Arab,68.0,70.2,13
MDR00084,4,Akidah-Akhlak,71.4,74.1,14
MDR00084,4,Fikih,69.1,80.4,14
MDR00084,4,SKI,69.6,70.3,15
MDR00084,4,Quran-Hadis,71.7,77.3,16
MDR00084,4,Bahasa Arab,69.1,77.5,15
MDR00084,5,Akidah-Akhlak,72.7,84.6,16
MDR00084,5,Fikih,71.8,75.7,13
MDR00084,5,SKI,68.8,71.4,14
MDR00084,5,Quran-Hadis,72.7,84.4,13
MDR00084,5,Bahasa Arab,71.1,75.4,16
MDR00084,6,Akidah-Akhlak,74.8,76.6,15
MDR00084,6,Fikih,73.0,81.2,14
MDR00084,6,SKI,72.0,79.0,15
MDR00084,6,Quran-Hadis,72.0,82.1,16
MDR00084,6,Bahasa Arab,69.6,80.3,14
MDR00085,1,Akidah-Akhlak,70.4,82.0,44
MDR00085,1,Fikih,65.3,72.8,45
MDR00085,1,SKI,72.2,77.0,50
MDR00085,1,Quran-Hadis,69.1,74.1,44
MDR00085,1,Bahasa Arab,68.9,77.0,47
MDR00085,2,Akidah-Akhlak,68.5,73.7,44
MDR00085,2,Fikih,66.0,68.1,49
MDR00085,2,SKI,70.2,77.8,56
MDR00085,2,Quran-Hadis,70.5,76.0,45
MDR00085,2,Bahasa Arab,68.5,68.6,44
MDR00085,3,Akidah-Akhlak,71.7,78.0,57
MDR00085,3,Fikih,68.1,69.5,50
MDR00085,3,SKI,63.5,60.4,57
MDR00085,3,Quran-Hadis,70.2,72.8,55
MDR00085,3,Bahasa Arab,73.9,83.5,45
MDR00085,4,Akidah-Akhlak,70.5,80.7,54
MDR00085,4,Fikih,69.8,71.0,56
MDR00085,4,SKI,63.5,60.8,45
MDR00085,4,Quran-Hadis,66.1,70.0,47
MDR00085,4,Bahasa Arab,65.9,62.2,54
MDR00085,5,Akidah-Akhlak,73.4,89.6,50
MDR00085,5,Fikih,72.5,82.1,57
MDR00085,5,SKI,63.2,61.9,45
MDR00085,5,Quran-Hadis,67.8,79.9,46
MDR00085,5,Bahasa Arab,63.1,59.8,45
MDR00085,6,Akidah-Akhlak,66.1,68.1,53
MDR00085,6,Fikih,70.8,72.7,57
MDR00085,6,SKI,64.3,57.2,48
MDR00085,6,Quran-Hadis,64.6,56.9,50
MDR00085,6,Bahasa Arab,67.4,64.3,47
MDR00086,7,Akidah-Akhlak,67.9,62.2,135
MDR00086,7,Fikih,74.4,87.8,109
MDR00086,7,SKI,68.9,69.4,124
MDR00086,7,Quran-Hadis,69.3,71.7,121
MDR00086,7,Bahasa Arab,68.0,82.6,114
MDR00086,8,Akidah-Akhlak,66.1,60.0,117
MDR00086,8,Fikih,68.5,64.7,111
MDR00086,8,SKI,66.2,53.7,126
MDR00086,8,Quran-Hadis,72.3,73.8,120
MDR00086,8,Bahasa Arab,67.2,69.4,123
MDR00086,9,Akidah-Akhlak,70.6,69.2,133
MDR00086,9,Fikih,75.0,87.3,132
MDR00086,9,SKI,67.5,68.9,112
MDR00086,9,Quran-Hadis,71.6,79.9,114
MDR00086,9,Bahasa Arab,70.3,75.8,104
MDR00087,1,Akidah-Akhlak,77.2,92.5,7
MDR00087,1,Fikih,69.4,68.0,7
MDR00087,1,SKI,74.1,86.1,6
MDR00087,1,Quran-Hadis,72.8,73.8,7
MDR00087,1,Bahasa Arab,71.5,72.6,7
MDR00087,2,Akidah-Akhlak,76.3,85.1,8
MDR00087,2,Fikih,74.5,91.0,7
MDR00087,2,SKI,72.3,79.7,7
MDR00087,2,Quran-Hadis,67.7,64.2,8
MDR00087,2,Bahasa Arab,76.2,87.3,8
MDR00087,3,Akidah-Akhlak,74.3,85.4,7
MDR00087,3,Fikih,69.9,76.9,7
MDR00087,3,SKI,71.7,79.3,9
MDR00087,3,Quran-Hadis,73.8,91.7,7
MDR00087,3,Bahasa Arab,70.7,75.1,8
MDR00087,4,Akidah-Akhlak,78.9,98.2,8
MDR00087,4,Fikih,74.3,91.2,9
MDR00087,4,SKI,73.6,89.1,8
MDR00087,4,Quran-Hadis,73.9,84.2,8
MDR00087,4,Bahasa Arab,75.1,80.7,7
MDR00087,5,Akidah-Akhlak,73.1,70.1,9
MDR00087,5,Fikih,69.1,73.3,6
MDR00087,5,SKI,72.4,79.0,8
MDR00087,5,Quran-Hadis,79.3,100,7
MDR00087,5,Bahasa Arab,73.6,97.5,8
MDR00087,6,Akidah-Akhlak,76.9,87.0,7
MDR00087,6,Fikih,73.9,94.8,7
MDR00087,6,SKI,70.9,81.4,8
MDR00087,6,Quran-Hadis,75.4,90.0,7
MDR00087,6,Bahasa Arab,69.2,74.3,9
MDR00088,10,Akidah-Akhlak,78.5,94.8,41
MDR00088,10,Fikih,72.2,76.8,39
MDR00088,10,SKI,79.8,98.2,31
MDR00088,10,Quran-Hadis,77.3,95.4,31
MDR00088,10,Bahasa Arab,80.6,90.6,33
MDR00088,11,Akidah-Akhlak,72.6,80.3,31
MDR00088,11,Fikih,77.1,92.1,37
MDR00088,11,SKI,76.6,94.8,36
MDR00088,11,Quran-Hadis,78.3,99.9,41
MDR00088,11,Bahasa Arab,73.9,82.2,31
MDR00088,12,Akidah-Akhlak,69.5,68.8,38
MDR00088,12,Fikih,74.8,80.0,34
MDR00088,12,SKI,67.4,76.0,35
MDR00088,12,Quran-Hadis,74.1,85.2,33
MDR00088,12,Bahasa Arab,74.4,86.3,40
MDR00089,1,Akidah-Akhlak,71.5,71.7,25
MDR00089,1,Fikih,70.7,64.7,28
MDR00089,1,SKI,73.5,85.3,27
MDR00089,1,Quran-Hadis,76.7,89.0,24
MDR00089,1,Bahasa Arab,73.5,77.5,24
MDR00089,2,Akidah-Akhlak,77.0,95.4,26
MDR00089,2,Fikih,69.2,72.7,27
MDR00089,2,SKI,74.6,80.4,30
MDR00089,2,Quran-Hadis,73.0,79.5,27
MDR00089,2,Bahasa Arab,75.5,91.4,25
MDR00089,3,Akidah-Akhlak,71.1,73.1,30
MDR00089,3,Fikih,74.6,91.4,30
MDR00089,3,SKI,72.3,78.1,29
MDR00089,3,Quran-Hadis,75.7,91.3,29
MDR00089,3,Bahasa Arab,73.7,83.0,30
MDR00089,4,Akidah-Akhlak,76.0,85.6,28
MDR00089,4,Fikih,75.0,85.6,29
MDR00089,4,SKI,77.4,97.5,27
MDR00089,4,Quran-Hadis,81.4,100,30
MDR00089,4,Bahasa Arab,72.3,84.5,28
MDR00089,5,Akidah-Akhlak,74.7,88.2,25
MDR00089,5,Fikih,71.0,83.2,28
MDR00089,5,SKI,74.5,86.0,28
MDR00089,5,Quran-Hadis,78.0,85.1,26
MDR00089,5,Bahasa Arab,73.2,69.9,24
MDR00089,6,Akidah-Akhlak,70.1,73.8,23
MDR00089,6,Fikih,76.8,92.5,30
MDR00089,6,SKI,69.9,77.5,25
MDR00089,6,Quran-Hadis,72.6,76.3,24
MDR00089,6,Bahasa Arab,70.7,76.6,24
MDR00090,1,Akidah-Akhlak,73.7,84.2,37
MDR00090,1,Fikih,74.6,77.2,35
MDR00090,1,SKI,75.2,86.1,29
MDR00090,1,Quran-Hadis,79.1,94.6,30
MDR00090,1,Bahasa Arab,80.6,98.8,35
MDR00090,2,Akidah-Akhlak,75.4,95.8,37
MDR00090,2,Fikih,75.4,82.5,33
MDR00090,2,SKI,73.8,85.0,32
MDR00090,2,Quran-Hadis,74.8,83.0,33
MDR00090,2,Bahasa Arab,76.9,90.0,35
MDR00090,3,Akidah-Akhlak,79.5,95.0,30
MDR00090,3,Fikih,78.1,91.8,33
MDR00090,3,SKI,76.9,92.1,28
MDR00090,3,Quran-Hadis,76.4,91.5,37
MDR00090,3,Bahasa Arab,74.9,91.3,37
MDR00090,4,Akidah-Akhlak,73.6,78.1,35
MDR00090,4,Fikih,77.3,99.4,30
MDR00090,4,SKI,79.5,96.0,31
MDR00090,4,Quran-Hadis,78.7,99.8,34
MDR00090,4,Bahasa Arab,71.8,82.6,31
MDR00090,5,Akidah-Akhlak,77.2,96.3,37
MDR00090,5,Fikih,78.4,94.0,30
MDR00090,5,SKI,72.6,77.4,36
MDR00090,5,Quran-Hadis,74.6,90.7,30
MDR00090,5,Bahasa Arab,70.7,85.8,34
MDR00090,6,Akidah-Akhlak,83.7,100,34
MDR00090,6,Fikih,69.2,80.9,34
MDR00090,6,SKI,80.4,97.6,30
MDR00090,6,Quran-Hadis,80.1,93.4,28
MDR00090,6,Bahasa Arab,78.0,87.9,30
MDR00091,1,Akidah-Akhlak,66.8,60.2,49
MDR00091,1,Fikih,68.5,69.2,42
MDR00091,1,SKI,71.6,67.3,47
MDR00091,1,Quran-Hadis,67.6,71.9,48
MDR00091,1,Bahasa Arab,68.3,68.6,43
MDR00091,2,Akidah-Akhlak,69.8,73.3,43
MDR00091,2,Fikih,69.4,72.2,41
MDR00091,2,SKI,64.3,61.3,43
MDR00091,2,Quran-Hadis,71.5,78.2,39
MDR00091,2,Bahasa Arab,62.4,57.3,42
MDR00091,3,Akidah-Akhlak,69.8,76.9,39
MDR00091,3,Fikih,70.6,79.0,37
MDR00091,3,SKI,66.4,58.3,49
MDR00091,3,Quran-Hadis,71.7,85.7,46
MDR00091,3,Bahasa Arab,69.7,64.5,44
MDR00091,4,Akidah-Akhlak,71.4,74.7,45
MDR00091,4,Fikih,68.2,81.2,45
MDR00091,4,SKI,66.9,65.1,42
MDR00091,4,Quran-Hadis,71.6,81.8,38
MDR00091,4,Bahasa Arab,70.3,73.4,44
MDR00091,5,Akidah-Akhlak,68.1,67.7,40
MDR00091,5,Fikih,70.7,74.6,48
MDR00091,5,SKI,65.4,71.6,49
MDR00091,5,Quran-Hadis,64.6,56.4,45
MDR00091,5,Bahasa Arab,65.9,63.8,36
MDR00091,6,Akidah-Akhlak,74.9,89.3,42
MDR00091,6,Fikih,66.1,65.7,46
MDR00091,6,SKI,66.4,74.7,46
MDR00091,6,Quran-Hadis,71.2,78.0,41
MDR00091,6,Bahasa Arab,73.6,86.1,38
MDR00092,10,Akidah-Akhlak,71.6,81.3,28
MDR00092,10,Fikih,75.5,88.3,23
MDR00092,10,SKI,73.6,80.8,24
MDR00092,10,Quran-Hadis,74.6,87.5,29
MDR00092,10,Bahasa Arab,71.8,72.4,25
MDR00092,11,Akidah-Akhlak,73.7,85.1,26
MDR00092,11,Fikih,74.8,84.9,27
MDR00092,11,SKI,74.4,90.1,27
MDR00092,11,Quran-Hadis,71.5,83.8,27
MDR00092,11,Bahasa Arab,71.1,72.1,25
MDR00092,12,Akidah-Akhlak,73.5,75.7,29
MDR00092,12,Fikih,72.2,81.0,29
MDR00092,12,SKI,76.2,95.6,29
MDR00092,12,Quran-Hadis,76.7,88.6,24
MDR00092,12,Bahasa Arab,72.5,81.5,24
MDR00093,10,Akidah-Akhlak,70.7,73.3,71
MDR00093,10,Fikih,68.4,70.4,67
MDR00093,10,SKI,66.0,69.1,61
MDR00093,10,Quran-Hadis,71.0,82.2,56
MDR00093,10,Bahasa Arab,72.5,82.2,68
MDR00093,11,Akidah-Akhlak,69.7,74.8,63
MDR00093,11,Fikih,66.0,58.5,72
MDR00093,11,SKI,66.8,69.3,59
MDR00093,11,Quran-Hadis,70.2,80.5,65
MDR00093,11,Bahasa Arab,77.2,86.7,59
MDR00093,12,Akidah-Akhlak,67.5,69.1,68
MDR00093,12,Fikih,66.7,77.3,61
MDR00093,12,SKI,65.0,52.5,59
MDR00093,12,Quran-Hadis,74.1,80.9,73
MDR00093,12,Bahasa Arab,75.9,92.3,55
MDR00094,7,Akidah-Akhlak,70.3,74.4,113
MDR00094,7,Fikih,65.8,59.9,94
MDR00094,7,SKI,64.9,63.7,101
MDR00094,7,Quran-Hadis,64.5,66.0,118
MDR00094,7,Bahasa Arab,63.6,67.3,106
MDR00094,8,Akidah-Akhlak,64.1,63.6,121
MDR00094,8,Fikih,67.8,66.3,114
MDR00094,8,SKI,69.2,69.8,92
MDR00094,8,Quran-Hadis,64.0,63.2,97
MDR00094,8,Bahasa Arab,65.9,62.9,94
MDR00094,9,Akidah-Akhlak,72.8,82.5,103
MDR00094,9,Fikih,66.4,65.7,115
MDR00094,9,SKI,68.2,65.6,101
MDR00094,9,Quran-Hadis,65.7,52.9,111
MDR00094,9,Bahasa Arab,65.1,57.4,95
MDR00095,7,Akidah-Akhlak,69.0,67.6,63
MDR00095,7,Fikih,67.6,74.0,66
MDR00095,7,SKI,67.6,65.8,81
MDR00095,7,Quran-Hadis,70.7,85.1,78
MDR00095,7,Bahasa Arab,73.7,82.1,74
MDR00095,8,Akidah-Akhlak,69.4,75.2,67
MDR00095,8,Fikih,74.7,92.1,79
MDR00095,8,SKI,69.6,78.2,76
MDR00095,8,Quran-Hadis,71.3,80.9,70
MDR00095,8,Bahasa Arab,68.5,74.4,66
MDR00095,9,Akidah-Akhlak,66.1,64.9,76
MDR00095,9,Fikih,72.6,80.9,82
MDR00095,9,SKI,77.2,100,63
MDR00095,9,Quran-Hadis,73.5,77.9,75
MDR00095,9,Bahasa Arab,68.5,79.6,72
MDR00096,10,Akidah-Akhlak,87.1,100,98
MDR00096,10,Fikih,84.3,100,86
MDR00096,10,SKI,84.1,100,91
MDR00096,10,Quran-Hadis,86.4,100,85
MDR00096,10,Bahasa Arab,82.9,100,82
MDR00096,11,Akidah-Akhlak,87.4,100,78
MDR00096,11,Fikih,87.4,100,79
MDR00096,11,SKI,77.7,90.1,74
MDR00096,11,Quran-Hadis,85.6,100,85
MDR00096,11,Bahasa Arab,84.8,100,81
MDR00096,12,Akidah-Akhlak,79.8,100,74
MDR00096,12,Fikih,83.3,100,87
MDR00096,12,SKI,84.0,100,89
MDR00096,12,Quran-Hadis,81.3,97.5,83
MDR00096,12,Bahasa Arab,84.4,100,83
MDR00097,1,Akidah-Akhlak,69.9,69.9,31
MDR00097,1,Fikih,72.3,73.4,26
MDR00097,1,SKI,78.6,100,34
MDR00097,1,Quran-Hadis,75.3,86.7,28
MDR00097,1,Bahasa Arab,75.0,90.4,28
MDR00097,2,Akidah-Akhlak,74.5,90.5,34
MDR00097,2,Fikih,74.3,84.9,34
MDR00097,2,SKI,74.3,81.2,26
MDR00097,2,Quran-Hadis,75.3,96.0,32
MDR00097,2,Bahasa Arab,65.3,60.5,29
MDR00097,3,Akidah-Akhlak,75.0,89.2,28
MDR00097,3,Fikih,74.8,86.6,32
MDR00097,3,SKI,72.6,79.2,29
MDR00097,3,Quran-Hadis,74.2,84.5,29
MDR00097,3,Bahasa Arab,73.3,96.6,34
MDR00097,4,Akidah-Akhlak,72.9,83.3,32
MDR00097,4,Fikih,70.1,78.7,26
MDR00097,4,SKI,73.7,87.0,35
MDR00097,4,Quran-Hadis,77.0,100,27
MDR00097,4,Bahasa Arab,69.1,76.3,34
MDR00097,5,Akidah-Akhlak,74.5,89.6,28
MDR00097,5,Fikih,78.9,100,32
MDR00097,5,SKI,71.8,79.3,31
MDR00097,5,Quran-Hadis,79.1,95.5,28
MDR00097,5,Bahasa Arab,73.1,79.2,35
MDR00097,6,Akidah-Akhlak,75.8,82.5,28
MDR00097,6,Fikih,74.4,77.7,33
MDR00097,6,SKI,66.4,66.0,26
MDR00097,6,Quran-Hadis,71.0,75.2,34
MDR00097,6,Bahasa Arab,76.8,85.1,28
MDR00098,7,Akidah-Akhlak,78.6,88.4,72
MDR00098,7,Fikih,73.5,75.9,86
MDR00098,7,SKI,75.8,91.2,93
MDR00098,7,Quran-Hadis,80.4,100,82
MDR00098,7,Bahasa Arab,71.9,81.7,76
MDR00098,8,Akidah-Akhlak,79.4,99.2,88
MDR00098,8,Fikih,78.3,97.8,76
MDR00098,8,SKI,73.4,82.9,80
MDR00098,8,Quran-Hadis,73.2,80.8,74
MDR00098,8,Bahasa Arab,75.8,85.2,86
MDR00098,9,Akidah-Akhlak,80.6,100,78
MDR00098,9,Fikih,73.3,82.8,95
MDR00098,9,SKI,72.3,83.1,74
MDR00098,9,Quran-Hadis,77.3,90.4,90
MDR00098,9,Bahasa Arab,78.4,100,81
MDR00099,7,Akidah-Akhlak,79.2,100,43
MDR00099,7,Fikih,67.9,71.9,46
MDR00099,7,SKI,69.4,76.4,50
MDR00099,7,Quran-Hadis,75.1,92.2,43
MDR00099,7,Bahasa Arab,74.2,77.4,54
MDR00099,8,Akidah-Akhlak,74.7,91.4,43
MDR00099,8,Fikih,73.6,80.2,46
MDR00099,8,SKI,72.6,74.9,43
MDR00099,8,Quran-Hadis,73.3,83.5,53
MDR00099,8,Bahasa Arab,69.9,73.6,50
MDR00099,9,Akidah-Akhlak,75.9,94.2,50
MDR00099,9,Fikih,75.6,92.1,51
MDR00099,9,SKI,76.9,93.3,56
MDR00099,9,Quran-Hadis,75.6,90.7,52
MDR00099,9,Bahasa Arab,72.0,83.3,53
MDR00100,7,Akidah-Akhlak,68.0,73.2,49
MDR00100,7,Fikih,73.0,83.8,56
MDR00100,7,SKI,70.5,79.5,60
MDR00100,7,Quran-Hadis,73.1,85.9,49
MDR00100,7,Bahasa Arab,72.8,80.2,58
MDR00100,8,Akidah-Akhlak,71.4,75.1,62
MDR00100,8,Fikih,69.0,70.2,54
MDR00100,8,SKI,66.2,63.6,59
MDR00100,8,Quran-Hadis,79.3,100,50
MDR00100,8,Bahasa Arab,64.4,62.5,49
MDR00100,9,Akidah-Akhlak,68.0,69.1,53
MDR00100,9,Fikih,68.5,69.0,54
MDR00100,9,SKI,69.6,62.9,57
MDR00100,9,Quran-Hadis,74.8,83.9,57
MDR00100,9,Bahasa Arab,70.0,74.8,57
MDR00101,7,Akidah-Akhlak,83.4,100,88
MDR00101,7,Fikih,75.7,83.5,83
MDR00101,7,SKI,74.0,88.2,89
MDR00101,7,Quran-Hadis,77.4,86.8,91
MDR00101,7,Bahasa Arab,77.2,92.1,92
MDR00101,8,Akidah-Akhlak,78.3,92.3,90
MDR00101,8,Fikih,74.2,91.8,95
MDR00101,8,SKI,72.5,87.7,87
MDR00101,8,Quran-Hadis,79.8,86.7,82
MDR00101,8,Bahasa Arab,71.3,74.5,91
MDR00101,9,Akidah-Akhlak,77.6,99.0,85
MDR00101,9,Fikih,73.2,84.3,76
MDR00101,9,SKI,76.9,95.9,73
MDR00101,9,Quran-Hadis,79.2,92.8,74
MDR00101,9,Bahasa Arab,72.2,80.2,73
MDR00102,1,Akidah-Akhlak,75.5,89.2,36
MDR00102,1,Fikih,76.5,90.7,46
MDR00102,1,SKI,72.8,89.4,41
MDR00102,1,Quran-Hadis,74.7,92.4,44
MDR00102,1,Bahasa Arab,69.9,80.5,37
MDR00102,2,Akidah-Akhlak,71.4,76.6,36
MDR00102,2,Fikih,79.5,99.1,39
MDR00102,2,SKI,71.5,82.6,37
MDR00102,2,Quran-Hadis,73.7,87.1,45
MDR00102,2,Bahasa Arab,71.2,78.8,45
MDR00102,3,Akidah-Akhlak,77.2,99.0,39
MDR00102,3,Fikih,71.2,75.4,44
MDR00102,3,SKI,68.6,74.3,35
MDR00102,3,Quran-Hadis,76.9,97.5,43
MDR00102,3,Bahasa Arab,72.4,75.8,40
MDR00102,4,Akidah-Akhlak,77.3,79.5,36
MDR00102,4,Fikih,74.6,83.0,41
MDR00102,4,SKI,73.3,79.9,42
MDR00102,4,Quran-Hadis,73.5,82.0,46
MDR00102,4,Bahasa Arab,71.8,76.6,37
MDR00102,5,Akidah-Akhlak,75.5,81.8,40
MDR00102,5,Fikih,67.9,67.6,43
MDR00102,5,SKI,68.8,64.3,41
MDR00102,5,Quran-Hadis,74.4,85.8,42
MDR00102,5,Bahasa Arab,74.5,78.9,38
MDR00102,6,Akidah-Akhlak,74.0,93.5,43
MDR00102,6,Fikih,74.5,98.3,43
MDR00102,6,SKI,76.1,88.7,46
MDR00102,6,Quran-Hadis,79.8,100,43
MDR00102,6,Bahasa Arab,66.2,63.8,41
MDR00103,1,Akidah-Akhlak,96.2,100,40
MDR00103,1,Fikih,94.6,100,42
MDR00103,1,SKI,82.4,100,45
MDR00103,1,Quran-Hadis,85.8,100,42
MDR00103,1,Bahasa Arab,84.2,100,41
MDR00103,2,Akidah-Akhlak,91.5,100,46
MDR00103,2,Fikih,90.5,100,48
MDR00103,2,SKI,91.8,100,46
MDR00103,2,Quran-Hadis,98,100,41
MDR00103,2,Bahasa Arab,91.0,100,39
MDR00103,3,Akidah-Akhlak,89.9,100,39
MDR00103,3,Fikih,92.4,100,41
MDR00103,3,SKI,89.5,100,43
MDR00103,3,Quran-Hadis,90.2,100,49
MDR00103,3,Bahasa Arab,93.2,100,42
MDR00103,4,Akidah-Akhlak,94.1,100,49
MDR00103,4,Fikih,91.6,100,38
MDR00103,4,SKI,93.6,100,48
MDR00103,4,Quran-Hadis,84.0,100,42
MDR00103,4,Bahasa Arab,93.8,100,38
MDR00103,5,Akidah-Akhlak,88.9,100,41
MDR00103,5,Fikih,91.0,100,42
MDR00103,5,SKI,90.1,100,42
MDR00103,5,Quran-Hadis,91.3,100,42
MDR00103,5,Bahasa Arab,88.8,100,51
MDR00103,6,Akidah-Akhlak,94.6,100,39
MDR00103,6,Fikih,92.4,100,40
MDR00103,6,SKI,95.4,100,39
MDR00103,6,Quran-Hadis,88.5,100,43
MDR00103,6,Bahasa Arab,91.6,100,52
MDR00104,1,Akidah-Akhlak,79.1,91.1,31
MDR00104,1,Fikih,71.4,82.3,37
MDR00104,1,SKI,77.0,87.6,38
MDR00104,1,Quran-Hadis,78.9,92.5,32
MDR00104,1,Bahasa Arab,72.2,76.3,35
MDR00104,2,Akidah-Akhlak,79.0,98.6,41
MDR00104,2,Fikih,75.0,89.4,36
MDR00104,2,SKI,78.5,93.9,33
MDR00104,2,Quran-Hadis,80.8,100,36
MDR00104,2,Bahasa Arab,72.1,75.7,39
MDR00104,3,Akidah-Akhlak,77.0,92.4,39
MDR00104,3,Fikih,80.9,100,33
MDR00104,3,SKI,71.0,72.9,32
MDR00104,3,Quran-Hadis,79.0,100,38
MDR00104,3,Bahasa Arab,80.0,100,37
MDR00104,4,Akidah-Akhlak,78.0,94.9,37
MDR00104,4,Fikih,79.5,96.3,36
MDR00104,4,SKI,72.9,82.9,35
MDR00104,4,Quran-Hadis,75.3,89.6,41
MDR00104,4,Bahasa Arab,75.9,94.6,35
MDR00104,5,Akidah-Akhlak,77.4,99.1,31
MDR00104,5,Fikih,75.3,95.4,37
